Tipo;Bairro;Quartos;Vagas;Suites;Area;Condominio;Valor Bruto;Tipos agregado
Flat;Copacabana;1;0;0;61;1600.0;4620.0;Apartamento
Apartamento;Botafogo;3;1;1;120;880.0;6097.0;Apartamento
Quitinete;Botafogo;1;0;0;25;450.0;2080.0;Apartamento
Apartamento;Leblon;3;2;1;155;1006.0;13236.0;Apartamento
Flat;Ipanema;2;1;0;86;2000.0;;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;36;0;1200;42000.0;;Apartamento
Apartamento;Flamengo;3;1;0;100;700.0;4147.0;Apartamento
Apartamento;Barra da Tijuca;1;1;0;58;1624.0;3338.0;Apartamento
Loft;Copacabana;1;1;1;46;;;Apartamento
Apartamento;Leme;2;0;0;87;720.0;3523.0;Apartamento
Apartamento;Copacabana;2;2;1;95;1037.0;;Apartamento
Quitinete;Centro;0;0;0;20;250.0;965.0;Apartamento
Casa de Condomínio;São Conrado;4;2;2;400;850.0;10300.0;casa
Apartamento;Vila da Penha;2;1;0;60;300.0;;Apartamento
Apartamento;Ipanema;1;0;0;34;404.0;1932.0;Apartamento
Casa de Condomínio;Barra da Tijuca;4;2;1;258;1500.0;8650.0;casa
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;50;1520.0;2481.0;Apartamento
Loja/Salão;Praça Seca;0;0;0;60;;;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;0;75;950.0;;Apartamento
Conjunto Comercial/Sala;Madureira;0;0;0;35;650.0;;Apartamento
Conjunto Comercial/Sala;Del Castilho;0;1;0;29;754.0;1828.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;45;952.0;2820.0;Apartamento
Apartamento;Leblon;2;1;1;100;1930.0;5820.0;Apartamento
Apartamento;Flamengo;3;2;1;95;805.0;;Apartamento
Apartamento;Tijuca;3;1;1;140;1260.0;;Apartamento
Conjunto Comercial/Sala;Estácio;0;0;0;31;410.0;1408.0;Apartamento
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;1;0;27;546.0;1236.0;Apartamento
Apartamento;Barra da Tijuca;4;3;2;230;4300.0;12650.0;Apartamento
Apartamento;Leme;3;1;0;97;1053.0;4040.0;Apartamento
Apartamento;Flamengo;4;2;4;430;4000.0;;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;65;560.0;;Apartamento
Apartamento;Barra da Tijuca;1;1;1;70;950.0;3270.0;Apartamento
Apartamento;Jardim Botânico;4;2;1;150;1100.0;8490.0;Apartamento
Apartamento;Copacabana;3;1;2;190;2600.0;8100.0;Apartamento
Apartamento;Ipanema;3;1;1;132;1500.0;8630.0;Apartamento
Casa;Senador Vasconcelos;1;0;0;40;;;casa
Apartamento;Ipanema;4;2;4;370;5707.0;37583.0;Apartamento
Apartamento;Ilha do Governador;2;1;0;140;250.0;1712.0;Apartamento
Apartamento;Leme;2;0;0;75;878.0;;Apartamento
Galpão/Depósito/Armazém;Maracanã;0;70;0;1400;;;Apartamento
Apartamento;Ipanema;2;1;0;75;800.0;;Apartamento
Apartamento;Leblon;3;1;1;116;1471.0;8661.0;Apartamento
Conjunto Comercial/Sala;Copacabana;0;0;0;27;748.0;;Apartamento
