TagName,obs
MCLC_A09_C00_VAV11.Vazao,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV11.VazaoMax,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV11.VazaoMin,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV12.Temp,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV19.confiabilidade,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV20.confiabilidade,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV20.SPVazao,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV20.Temp,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV20.Vazao,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A12_C00_VAV19.SPVazao,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV19.Damper,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV19.SPVazao,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV19.Temp,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV19.Vazao,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV19.VazaoMax,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV19.VazaoMin,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV20.Damper,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV20.VazaoMax,valores zerados no supervisorio e referencia perdida no coletor
MCLC_A09_C00_VAV20.VazaoMin,valores zerados no supervisorio e referencia perdida no coletor
MCLC_C01_BPlu03.confiabilidade,
MCLC_C01_BPlu04.confiabilidade,
MCLC_C01_REsg01.confiabilidade,
MCLC_C01_RPlu01.confiabilidade,
MCLC_C01_RPotInf01.confiabilidade,
MCLC_C01_RPotInf02.confiabilidade,
MCLC_C01_RPotSup01.confiabilidade,
MCLC_C01_RPotSup02.confiabilidade,
MCLC_CAG_CargaTermica01.confiabilidade,
MCLC_Disp07.contador,
MCLC_G_ACom_Ger01_M02.correnteR,
MCLC_G_ACom_Ger01_M02.correnteT,
MCLC_G_ACom_Gerador01.confiabilidade,
MCLC_G_APriv_Gerador01.confiabilidade,
MCLC_G_APriv_Gerador02.confiabilidade,
MCLC_G_APriv_RDieInf01.confiabilidade,
MCLC_G_APriv_RDieSup01.confiabilidade,
MCLC_G_CAG_Gerador01.confiabilidade,
MCLC_Pri_Ret_Pressao01.confiabilidade,
MCLC_Pri_Ret_Pressao01.valor,
